ID caso;Actividad;Ejecutor;Inicio;Fin;tipoDefecto;tipoTelefono;numeroReparaciones;defectoArreglado
1012;Informar a cliente;Sistema;21-01-2011 21:48;21-01-2011 21:48;;;;
1013;Registrar;Sistema;21-01-2011 22:52;21-01-2011 22:52;;;;
1013;Analizar defecto;Tester6;21-01-2011 22:52;21-01-2011 22:58;9;T3;;
1013;Informar a cliente;Sistema;21-01-2011 23:40;21-01-2011 23:40;;;;
1013;Reparacion (compleja);ReparadorC3;22-01-2011 0:08;22-01-2011 0:08;;;;
1013;Probar reparacion;Tester2;22-01-2011 0:08;22-01-2011 0:18;;;0;TRUE
1014;Registrar;Sistema;22-01-2011 22:31;22-01-2011 22:31;;;;
1014;Analizar defecto;Tester4;22-01-2011 22:31;22-01-2011 22:40;3;T1;;
1014;Reparacion (simple);ReparadorS3;22-01-2011 22:41;22-01-2011 22:55;;;;
1014;Informar a cliente;Sistema;22-01-2011 22:58;22-01-2011 22:58;;;;
1014;Probar reparacion;Tester6;22-01-2011 23:03;22-01-2011 23:03;;;1;TRUE
1015;Registrar;Sistema;22-01-2011 3:15;22-01-2011 3:15;;;;
1015;Analizar defecto;Tester1;22-01-2011 3:15;22-01-2011 3:24;10;T1;;
1015;Reparacion (compleja);ReparadorC1;22-01-2011 3:37;22-01-2011 3:47;;;;
1015;Probar reparacion;Tester2;22-01-2011 3:47;22-01-2011 3:54;;;0;TRUE
1015;Informar a cliente;Sistema;22-01-2011 3:55;22-01-2011 3:55;;;;
1016;Registrar;Sistema;22-01-2011 20:32;22-01-2011 20:32;;;;
1016;Analizar defecto;Tester4;22-01-2011 20:32;22-01-2011 20:42;5;T3;;
1016;Informar a cliente;Sistema;22-01-2011 21:21;22-01-2011 21:21;;;;
1016;Reparacion (simple);ReparadorS2;22-01-2011 21:22;22-01-2011 21:22;;;;
1016;Probar reparacion;Tester4;22-01-2011 21:22;22-01-2011 21:29;;;1;FALSE
1016;Volver a reparar;Sistema;22-01-2011 21:39;22-01-2011 21:39;;;;
1016;Reparacion (simple);ReparadorS1;22-01-2011 21:39;22-01-2011 21:46;;;;
1016;Probar reparacion;Tester6;22-01-2011 21:46;22-01-2011 21:51;;;2;FALSE
1016;Volver a reparar;Sistema;22-01-2011 22:01;22-01-2011 22:01;;;;
1016;Reparacion (simple);ReparadorS3;22-01-2011 22:01;22-01-2011 22:14;;;;
1016;Probar reparacion;Tester3;22-01-2011 22:14;22-01-2011 22:19;;;3;TRUE
1017;Registrar;Sistema;22-01-2011 3:48;22-01-2011 3:48;;;;
1017;Analizar defecto;Tester1;22-01-2011 3:48;22-01-2011 3:58;1;T3;;
1017;Informar a cliente;Sistema;22-01-2011 4:39;22-01-2011 4:39;;;;
1017;Reparacion (simple);ReparadorS2;22-01-2011 4:41;22-01-2011 4:41;;;;
1017;Probar reparacion;Tester3;22-01-2011 4:41;22-01-2011 4:50;;;1;TRUE
1018;Registrar;Sistema;22-01-2011 20:16;22-01-2011 20:16;;;;
1018;Analizar defecto;Tester1;22-01-2011 20:16;22-01-2011 20:21;10;T2;;
1018;Informar a cliente;Sistema;22-01-2011 20:36;22-01-2011 20:36;;;;
1018;Reparacion (compleja);ReparadorC2;22-01-2011 20:46;22-01-2011 21:04;;;;
1018;Probar reparacion;Tester1;22-01-2011 21:04;22-01-2011 21:10;;;0;TRUE
1019;Registrar;Sistema;22-01-2011 20:16;22-01-2011 20:16;;;;
1019;Analizar defecto;Tester4;22-01-2011 20:16;22-01-2011 20:22;7;T2;;
1019;Reparacion (compleja);ReparadorC3;22-01-2011 20:23;22-01-2011 21:03;;;;
1019;Informar a cliente;Sistema;22-01-2011 21:08;22-01-2011 21:08;;;;
1019;Probar reparacion;Tester6;22-01-2011 21:12;22-01-2011 21:12;;;0;TRUE
102;Registrar;Sistema;03-01-2011 12:19;03-01-2011 12:19;;;;
102;Analizar defecto;Tester1;03-01-2011 12:19;03-01-2011 12:25;9;T2;;
102;Informar a cliente;Sistema;03-01-2011 13:12;03-01-2011 13:12;;;;
102;Reparacion (compleja);ReparadorC3;03-01-2011 13:32;03-01-2011 13:32;;;;
102;Probar reparacion;Tester6;03-01-2011 13:32;03-01-2011 13:41;;;0;TRUE
102;Archivar reparacion;Sistema;03-01-2011 13:49;03-01-2011 13:49;;;0;TRUE
1020;Registrar;Sistema;21-01-2011 18:47;21-01-2011 18:47;;;;
1020;Analizar defecto;Tester2;21-01-2011 18:47;21-01-2011 18:53;10;T2;;
1020;Informar a cliente;Sistema;21-01-2011 19:21;21-01-2011 19:21;;;;
1020;Reparacion (compleja);ReparadorC3;21-01-2011 19:46;21-01-2011 19:46;;;;
1020;Probar reparacion;Tester5;21-01-2011 19:46;21-01-2011 19:53;;;0;TRUE
1021;Registrar;Sistema;22-01-2011 20:46;22-01-2011 20:46;;;;
1021;Analizar defecto;Tester6;22-01-2011 20:46;22-01-2011 20:55;9;T1;;
1021;Reparacion (compleja);ReparadorC2;22-01-2011 21:20;22-01-2011 21:34;;;;
1021;Informar a cliente;Sistema;22-01-2011 21:38;22-01-2011 21:38;;;;
1021;Probar reparacion;Tester2;22-01-2011 21:42;22-01-2011 21:42;;;0;TRUE
1022;Registrar;Sistema;22-01-2011 20:21;22-01-2011 20:21;;;;
1022;Analizar defecto;Tester5;22-01-2011 20:21;22-01-2011 20:26;2;T3;;
1022;Informar a cliente;Sistema;22-01-2011 20:50;22-01-2011 20:50;;;;
1022;Reparacion (simple);ReparadorS3;22-01-2011 21:07;22-01-2011 21:07;;;;
1022;Probar reparacion;Tester2;22-01-2011 21:07;22-01-2011 21:13;;;1;TRUE
1023;Registrar;Sistema;22-01-2011 7:38;22-01-2011 7:38;;;;
1023;Analizar defecto;Tester1;22-01-2011 7:38;22-01-2011 7:47;7;T3;;
1023;Reparacion (compleja);ReparadorC1;22-01-2011 7:58;22-01-2011 8:12;;;;
1023;Probar reparacion;Tester2;22-01-2011 8:12;22-01-2011 8:18;;;0;TRUE
1023;Informar a cliente;Sistema;22-01-2011 8:28;22-01-2011 8:28;;;;
1024;Registrar;Sistema;23-01-2011 0:32;23-01-2011 0:32;;;;
1024;Analizar defecto;Tester5;23-01-2011 0:32;23-01-2011 0:37;5;T2;;
1024;Reparacion (simple);ReparadorS1;23-01-2011 0:53;23-01-2011 1:00;;;;
1024;Probar reparacion;Tester5;23-01-2011 1:00;23-01-2011 1:07;;;1;FALSE
1024;Volver a reparar;Sistema;23-01-2011 1:12;23-01-2011 1:12;;;;
1024;Informar a cliente;Sistema;23-01-2011 1:18;23-01-2011 1:18;;;;
1024;Reparacion (simple);ReparadorS2;23-01-2011 1:22;23-01-2011 1:22;;;;
1024;Probar reparacion;Tester1;23-01-2011 1:22;23-01-2011 1:29;;;2;FALSE
1024;Volver a reparar;Sistema;23-01-2011 1:34;23-01-2011 1:34;;;;
1024;Reparacion (compleja);ReparadorC2;23-01-2011 1:34;23-01-2011 1:48;;;;
1024;Probar reparacion;Tester4;23-01-2011 1:48;23-01-2011 1:58;;;2;TRUE
1025;Registrar;Sistema;21-01-2011 18:17;21-01-2011 18:17;;;;
1025;Analizar defecto;Tester6;21-01-2011 18:17;21-01-2011 18:26;1;T1;;
1025;Reparacion (simple);ReparadorS2;21-01-2011 18:40;21-01-2011 18:50;;;;
1025;Probar reparacion;Tester1;21-01-2011 18:50;21-01-2011 18:57;;;1;TRUE
1025;Informar a cliente;Sistema;21-01-2011 19:13;21-01-2011 19:13;;;;
1026;Registrar;Sistema;22-01-2011 0:24;22-01-2011 0:24;;;;
1026;Analizar defecto;Tester3;22-01-2011 0:24;22-01-2011 0:29;9;T2;;
1026;Informar a cliente;Sistema;22-01-2011 1:10;22-01-2011 1:10;;;;
1026;Reparacion (compleja);ReparadorC3;22-01-2011 1:18;22-01-2011 1:18;;;;
1026;Probar reparacion;Tester3;22-01-2011 1:18;22-01-2011 1:25;;;0;TRUE
1027;Registrar;Sistema;22-01-2011 12:16;22-01-2011 12:16;;;;
1027;Analizar defecto;Tester1;22-01-2011 12:16;22-01-2011 12:24;1;T3;;
1027;Informar a cliente;Sistema;22-01-2011 12:39;22-01-2011 12:39;;;;
1027;Reparacion (simple);ReparadorS2;22-01-2011 12:46;22-01-2011 12:46;;;;
1027;Probar reparacion;Tester6;22-01-2011 12:46;22-01-2011 12:54;;;1;TRUE
1028;Registrar;Sistema;22-01-2011 5:18;22-01-2011 5:18;;;;
1028;Analizar defecto;Tester6;22-01-2011 5:18;22-01-2011 5:28;6;T1;;
1028;Informar a cliente;Sistema;22-01-2011 5:44;22-01-2011 5:44;;;;
1028;Reparacion (compleja);ReparadorC2;22-01-2011 5:55;22-01-2011 6:06;;;;
1028;Probar reparacion;Tester4;22-01-2011 6:06;22-01-2011 6:14;;;0;TRUE
1029;Registrar;Sistema;22-01-2011 17:01;22-01-2011 17:01;;;;
1029;Analizar defecto;Tester1;22-01-2011 17:01;22-01-2011 17:08;2;T1;;
1029;Reparacion (simple);ReparadorS3;22-01-2011 17:26;22-01-2011 17:38;;;;
1029;Probar reparacion;Tester6;22-01-2011 17:38;22-01-2011 17:47;;;1;TRUE
1029;Informar a cliente;Sistema;22-01-2011 17:57;22-01-2011 17:57;;;;
103;Registrar;Sistema;03-01-2011 1:41;03-01-2011 1:41;;;;
103;Analizar defecto;Tester2;03-01-2011 1:41;03-01-2011 1:49;10;T1;;
103;Reparacion (compleja);ReparadorC2;03-01-2011 2:15;03-01-2011 2:34;;;;
103;Informar a cliente;Sistema;03-01-2011 2:37;03-01-2011 2:37;;;;
103;Probar reparacion;Tester3;03-01-2011 2:39;03-01-2011 2:39;;;0;TRUE
103;Archivar reparacion;Sistema;03-01-2011 2:46;03-01-2011 2:46;;;0;TRUE
1030;Registrar;Sistema;22-01-2011 6:06;22-01-2011 6:06;;;;
1030;Analizar defecto;Tester6;22-01-2011 6:06;22-01-2011 6:15;2;T3;;
1030;Informar a cliente;Sistema;22-01-2011 6:31;22-01-2011 6:31;;;;
1030;Reparacion (simple);ReparadorS3;22-01-2011 6:31;22-01-2011 6:44;;;;
1030;Probar reparacion;Tester1;22-01-2011 6:44;22-01-2011 6:50;;;1;TRUE
1031;Registrar;Sistema;22-01-2011 2:49;22-01-2011 2:49;;;;
1031;Analizar defecto;Tester2;22-01-2011 2:49;22-01-2011 2:55;10;T1;;
1031;Informar a cliente;Sistema;22-01-2011 3:28;22-01-2011 3:28;;;;
1031;Reparacion (compleja);ReparadorC2;22-01-2011 3:38;22-01-2011 3:38;;;;
1031;Probar reparacion;Tester5;22-01-2011 3:38;22-01-2011 3:45;;;0;TRUE
1032;Registrar;Sistema;22-01-2011 12:57;22-01-2011 12:57;;;;
1032;Analizar defecto;Tester1;22-01-2011 12:57;22-01-2011 13:04;2;T2;;
1032;Informar a cliente;Sistema;22-01-2011 13:21;22-01-2011 13:21;;;;
1032;Reparacion (simple);ReparadorS3;22-01-2011 13:33;22-01-2011 13:43;;;;
1032;Probar reparacion;Tester6;22-01-2011 13:43;22-01-2011 13:49;;;1;TRUE
1033;Registrar;Sistema;23-01-2011 6:18;23-01-2011 6:18;;;;
1033;Analizar defecto;Tester4;23-01-2011 6:18;23-01-2011 6:25;3;T3;;
1033;Reparacion (simple);ReparadorS1;23-01-2011 6:27;23-01-2011 6:34;;;;
1033;Probar reparacion;Tester2;23-01-2011 6:34;23-01-2011 6:40;;;1;FALSE
1033;Volver a reparar;Sistema;23-01-2011 6:45;23-01-2011 6:45;;;;
1033;Reparacion (simple);ReparadorS3;23-01-2011 6:45;23-01-2011 6:56;;;;
1033;Probar reparacion;Tester3;23-01-2011 6:56;23-01-2011 7:01;;;2;TRUE
1033;Informar a cliente;Sistema;23-01-2011 7:08;23-01-2011 7:08;;;;
1034;Registrar;Sistema;22-01-2011 12:56;22-01-2011 12:56;;;;
1034;Analizar defecto;Tester2;22-01-2011 12:56;22-01-2011 13:04;4;T1;;
1034;Informar a cliente;Sistema;22-01-2011 13:27;22-01-2011 13:27;;;;
1034;Reparacion (simple);ReparadorS1;22-01-2011 13:34;22-01-2011 13:40;;;;
1034;Probar reparacion;Tester1;22-01-2011 13:40;22-01-2011 13:50;;;1;FALSE
1034;Volver a reparar;Sistema;22-01-2011 14:00;22-01-2011 14:00;;;;
1034;Reparacion (simple);ReparadorS3;22-01-2011 14:00;22-01-2011 14:20;;;;
1034;Probar reparacion;Tester1;22-01-2011 14:20;22-01-2011 14:27;;;2;TRUE
1035;Registrar;Sistema;23-01-2011 8:56;23-01-2011 8:56;;;;
1035;Analizar defecto;Tester3;23-01-2011 8:56;23-01-2011 9:02;7;T2;;
1035;Informar a cliente;Sistema;23-01-2011 9:44;23-01-2011 9:44;;;;
1035;Reparacion (compleja);ReparadorC3;23-01-2011 10:15;23-01-2011 10:15;;;;
1035;Probar reparacion;Tester4;23-01-2011 10:15;23-01-2011 10:24;;;0;TRUE
1036;Registrar;Sistema;22-01-2011 7:02;22-01-2011 7:02;;;;
1036;Analizar defecto;Tester4;22-01-2011 7:02;22-01-2011 7:12;7;T2;;
1036;Informar a cliente;Sistema;22-01-2011 7:37;22-01-2011 7:37;;;;
1036;Reparacion (compleja);ReparadorC2;22-01-2011 7:49;22-01-2011 7:49;;;;
1036;Probar reparacion;Tester3;22-01-2011 7:49;22-01-2011 7:57;;;0;TRUE
1037;Registrar;Sistema;23-01-2011 9:04;23-01-2011 9:04;;;;
1037;Analizar defecto;Tester3;23-01-2011 9:04;23-01-2011 9:11;4;T3;;
1037;Reparacion (simple);ReparadorS2;23-01-2011 9:22;23-01-2011 9:29;;;;
1037;Probar reparacion;Tester6;23-01-2011 9:29;23-01-2011 9:38;;;1;TRUE
1037;Informar a cliente;Sistema;23-01-2011 9:47;23-01-2011 9:47;;;;
1038;Registrar;Sistema;22-01-2011 23:36;22-01-2011 23:36;;;;
1038;Analizar defecto;Tester2;22-01-2011 23:36;22-01-2011 23:41;5;T3;;
1038;Reparacion (compleja);ReparadorC1;22-01-2011 23:48;23-01-2011 0:04;;;;
1038;Probar reparacion;Tester2;23-01-2011 0:04;23-01-2011 0:10;;;0;TRUE
1038;Informar a cliente;Sistema;23-01-2011 0:29;23-01-2011 0:29;;;;
1039;Registrar;Sistema;23-01-2011 11:42;23-01-2011 11:42;;;;
1039;Analizar defecto;Tester1;23-01-2011 11:42;23-01-2011 11:52;10;T1;;
1039;Informar a cliente;Sistema;23-01-2011 12:12;23-01-2011 12:12;;;;
1039;Reparacion (compleja);ReparadorC3;23-01-2011 12:16;23-01-2011 13:03;;;;
1039;Probar reparacion;Tester6;23-01-2011 13:03;23-01-2011 13:08;;;0;TRUE
104;Registrar;Sistema;04-01-2011 14:29;04-01-2011 14:29;;;;
104;Analizar defecto;Tester6;04-01-2011 14:29;04-01-2011 14:37;6;T2;;
104;Reparacion (compleja);ReparadorC2;04-01-2011 14:44;04-01-2011 15:02;;;;
104;Probar reparacion;Tester5;04-01-2011 15:02;04-01-2011 15:08;;;0;TRUE
104;Informar a cliente;Sistema;04-01-2011 15:25;04-01-2011 15:25;;;;
104;Archivar reparacion;Sistema;04-01-2011 15:25;04-01-2011 15:25;;;0;TRUE
1040;Registrar;Sistema;23-01-2011 10:24;23-01-2011 10:24;;;;
1040;Analizar defecto;Tester6;23-01-2011 10:24;23-01-2011 10:31;4;T3;;
1040;Reparacion (simple);ReparadorS3;23-01-2011 10:52;23-01-2011 11:11;;;;
1040;Probar reparacion;Tester3;23-01-2011 11:11;23-01-2011 11:20;;;1;TRUE
1040;Informar a cliente;Sistema;23-01-2011 11:21;23-01-2011 11:21;;;;
1041;Registrar;Sistema;23-01-2011 9:15;23-01-2011 9:15;;;;
1041;Analizar defecto;Tester3;23-01-2011 9:15;23-01-2011 9:25;2;T3;;
1041;Reparacion (simple);ReparadorS1;23-01-2011 9:55;23-01-2011 10:00;;;;
1041;Informar a cliente;Sistema;23-01-2011 10:03;23-01-2011 10:03;;;;
1041;Probar reparacion;Tester5;23-01-2011 10:10;23-01-2011 10:10;;;1;FALSE
1041;Volver a reparar;Sistema;23-01-2011 10:16;23-01-2011 10:16;;;;
1041;Reparacion (simple);ReparadorS1;23-01-2011 10:16;23-01-2011 10:22;;;;
1041;Probar reparacion;Tester5;23-01-2011 10:22;23-01-2011 10:31;;;2;FALSE
1041;Volver a reparar;Sistema;23-01-2011 10:40;23-01-2011 10:40;;;;
1041;Reparacion (simple);ReparadorS2;23-01-2011 10:40;23-01-2011 10:55;;;;
1041;Probar reparacion;Tester3;23-01-2011 10:55;23-01-2011 11:05;;;3;FALSE
1042;Registrar;Sistema;22-01-2011 9:48;22-01-2011 9:48;;;;
1042;Analizar defecto;Tester6;22-01-2011 9:48;22-01-2011 9:54;6;T1;;
1042;Reparacion (simple);ReparadorS3;22-01-2011 10:16;22-01-2011 10:35;;;;
1042;Informar a cliente;Sistema;22-01-2011 10:36;22-01-2011 10:36;;;;
1042;Probar reparacion;Tester3;22-01-2011 10:41;22-01-2011 10:41;;;1;TRUE
1043;Registrar;Sistema;23-01-2011 1:12;23-01-2011 1:12;;;;
1043;Analizar defecto;Tester2;23-01-2011 1:12;23-01-2011 1:19;5;T3;;
1043;Reparacion (simple);ReparadorS3;23-01-2011 1:20;23-01-2011 1:33;;;;
1043;Informar a cliente;Sistema;23-01-2011 1:41;23-01-2011 1:41;;;;
1043;Probar reparacion;Tester1;23-01-2011 1:42;23-01-2011 1:42;;;1;TRUE
1044;Registrar;Sistema;23-01-2011 3:39;23-01-2011 3:39;;;;
1044;Analizar defecto;Tester2;23-01-2011 3:39;23-01-2011 3:48;7;T1;;
1044;Informar a cliente;Sistema;23-01-2011 4:05;23-01-2011 4:05;;;;
1044;Reparacion (compleja);ReparadorC3;23-01-2011 4:05;23-01-2011 4:52;;;;
1044;Probar reparacion;Tester3;23-01-2011 4:52;23-01-2011 5:01;;;0;TRUE
1045;Registrar;Sistema;22-01-2011 17:32;22-01-2011 17:32;;;;
1045;Analizar defecto;Tester1;22-01-2011 17:32;22-01-2011 17:39;1;T3;;
1045;Reparacion (simple);ReparadorS3;22-01-2011 17:43;22-01-2011 17:58;;;;
1045;Probar reparacion;Tester1;22-01-2011 17:58;22-01-2011 18:04;;;1;TRUE
1045;Informar a cliente;Sistema;22-01-2011 18:07;22-01-2011 18:07;;;;
1046;Registrar;Sistema;23-01-2011 7:37;23-01-2011 7:37;;;;
1046;Analizar defecto;Tester5;23-01-2011 7:37;23-01-2011 7:43;7;T3;;
1046;Informar a cliente;Sistema;23-01-2011 8:06;23-01-2011 8:06;;;;
